employee_id,job_role,training_hours,client_contacts,task_switch_hours,performance_index
E0075,support_engineer,6,5.29,11.9,46.2
E0076,support_engineer,7.2,4.8,5.5,40.6
E0077,support_engineer,8.6,9.66,6.9,93.9
E0078,implement_specialist,9,8.27,3.8,52.3
E0079,account_manager,6.3,5.05,12,44.5
E0080,support_engineer,4.5,2.67,5,57.8
E0081,account_manager,5.9,1.71,5.9,41.9
E0082,implement_specialist,5.3,6.38,12,54.1
E0083,account_manager,6.3,4.42,5,27.7
E0084,account_manager,7.4,1.48,5.8,78.9
E0085,support_engineer,7.3,0,11.2,62
E0086,support_engineer,7.7,2.14,4.4,59.4
E0087,support_engineer,6.8,6.44,9.8,75.6
E0088,support_engineer,7.1,6.54,6.5,70
E0089,support_engineer,9.2,8.32,3.7,85.5
E0090,account_manager,6.4,8.22,6.9,44.7
E0091,account_manager,7.9,8.47,3.7,40.8
E0092,implement_specialist,7.3,7.23,2.6,67.8
E0093,account_manager,7.8,6.27,9.1,63.4
E0094,implement_specialist,7.5,9.52,5.8,67.1
E0095,implement_specialist,4.9,6.13,7.6,45.4
E0096,implement_specialist,6.2,6.04,3,75.4
E0097,implement_specialist,7.1,6.32,5.3,72.5
E0098,implement_specialist,6.6,11.04,4.8,100
E0099,implement_specialist,6,4.34,5.1,41
E0100,implement_specialist,7.7,5.25,3.9,54.1
E0101,account_manager,6.2,5.93,9.4,88.8
E0102,account_manager,5.6,8.96,6.7,28.9
E0103,account_manager,6.5,4.24,8.4,67.5
E0104,implement_specialist,6.4,3.94,6.6,45.1
E0105,implement_specialist,5.3,4.49,12,46.4
E0106,implement_specialist,7.6,9.85,1.1,66.2
E0107,support_engineer,6.8,2.68,6,57
E0108,support_engineer,7.6,7.09,7.8,52.8
E0109,account_manager,5.9,2.81,9.1,40.1
E0110,account_manager,7.4,12.26,3.6,57.7
E0111,support_engineer,7.5,8,3.5,89.2
E0112,account_manager,5.7,9.29,7.8,55.1
E0113,implement_specialist,7.3,9.71,6.5,48.9
E0114,account_manager,6.8,3.73,10.4,58
E0115,account_manager,6.5,1.35,5,78.4
E0116,support_engineer,6.2,5.17,8.1,90.2
E0117,account_manager,7.4,8.53,6.9,45.1
E0118,account_manager,5.8,3.66,5.8,47.8
E0119,account_manager,6.3,5.76,8.9,86.3
E0120,account_manager,7.9,7.09,5.4,64
E0121,account_manager,7.3,5.45,4.4,50.9
E0122,implement_specialist,4.9,8.57,8.6,45.4
E0123,account_manager,9.7,9.05,1,79.1
E0124,implement_specialist,5.7,9.6,2.8,59
E0125,account_manager,7.2,4.7,5.5,71.4
E0126,support_engineer,5.1,7.09,10.9,92.5
E0127,account_manager,7,5,9.4,48.3
E0128,support_engineer,7.6,7.39,5.6,35.5
E0129,support_engineer,6.6,6.19,7.7,66.7
E0130,support_engineer,5.8,8.82,3.6,68.9
E0131,account_manager,6.3,6.65,3.5,67.2
E0132,implement_specialist,4.9,5.8,3.8,36
E0133,implement_specialist,6.9,3.87,7.9,64.3
E0134,account_manager,6.8,9.71,5,81.1
E0135,account_manager,6.3,7.16,3.3,50.7
E0136,account_manager,7.1,6.33,6.9,56.5
E0137,implement_specialist,8.4,11.25,6.6,98.8
E0138,account_manager,5,10.49,10,72.6
E0139,implement_specialist,8.4,8.42,6.8,60.1
E0140,support_engineer,5.6,3.54,8.5,37.4
E0141,support_engineer,6.9,10.79,6.8,58.7
E0142,support_engineer,8.7,4.08,9.2,61.5
E0143,account_manager,6.5,9.78,8.7,36.3
E0144,account_manager,8.4,9.83,5.3,54.1
E0145,support_engineer,8.2,4.08,6.3,41.3
E0146,implement_specialist,6.7,6.37,6.9,70.7
E0147,support_engineer,6.9,11.79,6,59.2
E0148,support_engineer,6.1,3.03,10,11.6
E0149,support_engineer,6.6,8.62,5.8,47.2
E0150,account_manager,6.4,9.97,5.9,83
E0151,implement_specialist,6.5,9.73,5.3,52.2
E0152,support_engineer,5.5,4.76,7.8,70.4
E0153,support_engineer,5.6,3.79,5.7,54.9
E0154,account_manager,7.5,6.58,7.6,49.9
E0155,implement_specialist,8.5,6.23,0,75.4
E0156,account_manager,7.3,8.35,4.3,39.8
E0157,account_manager,7.1,9.59,2.3,46.7
E0158,account_manager,7.2,3.83,8.9,47.3
E0159,support_engineer,6.9,10.4,3.8,50.9
E0160,support_engineer,6.1,8,10.7,49.2
E0161,account_manager,5.8,4.92,5.3,77.2
E0162,account_manager,7.1,3.78,6.8,70
E0163,support_engineer,7,7.22,4.1,70.2
E0164,account_manager,7.9,5.5,8.3,51.8
E0165,account_manager,7.2,7.28,3.8,74.1
E0166,support_engineer,5.4,4.72,10.4,35
E0167,account_manager,8.3,3.72,7.6,44.8
E0168,account_manager,6.8,4.36,5,59.5
E0169,support_engineer,7.5,8.49,5.1,46.6
E0170,account_manager,8.3,5.17,4,71.5
E0171,account_manager,6.6,5.57,8.2,50.6
E0172,account_manager,10.1,9.15,1.2,100
E0173,support_engineer,6,3.67,8.5,22.8
E0174,support_engineer,7,6.23,6.7,31
E0175,implement_specialist,6.3,2.77,9.3,59.6
E0176,account_manager,7.9,10.16,11.2,44.1
E0177,implement_specialist,6.5,9.15,3.9,74.3
E0178,support_engineer,7.5,7.41,6.8,54
E0179,support_engineer,8.3,3.68,5.5,55.9
E0180,account_manager,5.3,1.9,7.2,62.3
E0181,account_manager,7.2,9.38,8.4,56.6
E0182,support_engineer,7.9,13.95,7.1,56.2
E0183,implement_specialist,7.7,9.86,4.7,76.4
E0184,implement_specialist,8.9,2.95,2.3,62.7
E0185,account_manager,8,7.1,9.2,56.6
E0186,account_manager,8.7,9.66,8.1,60.7
E0187,account_manager,7.5,11.89,5.5,77.7
E0188,account_manager,7.9,12.78,2.1,100
E0189,implement_specialist,6.3,4.79,8,64.7
E0190,account_manager,5.7,8.1,6.1,49.4
E0191,implement_specialist,8.5,4.65,3.2,67.7
E0192,support_engineer,5.6,5.2,6.8,34.3
E0193,implement_specialist,7.1,7.56,7.5,65.1
E0194,account_manager,8,11.43,1.9,73.1
E0195,account_manager,7.2,7.64,1.6,67.1
E0196,support_engineer,6.8,8.27,8.8,70.9
E0197,support_engineer,8.9,9.89,5,76.7
E0198,account_manager,8.6,8.46,1.8,67.2
E0199,support_engineer,8.1,6.15,7.3,46.4
E0200,account_manager,7.8,10.71,5.1,70.7
E0201,support_engineer,7.3,10.98,6.1,60.4
E0202,support_engineer,6.9,8.56,6.1,66
E0203,account_manager,6.5,11.6,0.7,58.5
E0204,account_manager,7.9,7.52,1.9,74.2
E0205,account_manager,9.4,8.95,3.5,35.1
E0206,account_manager,5.7,1.57,5.5,63.6
E0207,implement_specialist,6.6,9.64,6.3,79.2
E0208,account_manager,6,4.13,4.3,37.3
E0209,implement_specialist,4.9,5.48,10,64.3
E0210,implement_specialist,8.2,10.25,3.5,62.5
E0211,implement_specialist,6.4,7.24,6,60.2
E0212,support_engineer,7.7,8.68,5.3,57.2
E0213,support_engineer,6,8.7,8.8,51.6
E0214,account_manager,5.8,7.26,12,48.5
E0215,support_engineer,6.3,3.76,11.5,61
E0216,implement_specialist,7.4,11.23,3.4,60.7
E0217,account_manager,9.4,8.97,3.3,94
E0218,support_engineer,9.4,12.38,4.2,48
E0219,support_engineer,9,14.49,3.2,81.1
E0220,account_manager,7.6,3.31,6.9,41.9
E0221,implement_specialist,7,9.86,2.3,100
E0222,implement_specialist,7.3,4.33,5.3,41.6
E0223,implement_specialist,8.5,2.44,5.1,62.9
E0224,support_engineer,8.1,7.59,4.2,59.6
E0225,support_engineer,8.7,4.77,10.2,68.8
E0226,implement_specialist,6.2,1.45,8,56.4
E0227,account_manager,8,7.04,5.6,73.1
E0228,account_manager,6.8,10.04,5.1,50
E0229,support_engineer,6.8,6.23,6.3,41.2
E0230,implement_specialist,7.6,11.76,6.5,44.8
E0231,implement_specialist,6.9,3.94,10,54.4
E0232,support_engineer,7,7.33,8.5,74
E0233,support_engineer,7.7,14.15,5.9,67
E0234,account_manager,7.8,5.68,3.8,49.2
E0235,implement_specialist,5.9,3.57,9.5,44.8
E0236,account_manager,7.3,12.07,5.3,56.4
E0237,account_manager,6.7,7.01,8.6,34.7
E0238,account_manager,8.7,3.61,5.8,81.9
E0239,account_manager,6.2,11.98,5.2,77.7
E0240,support_engineer,7.4,4.53,8.4,53.3
E0241,account_manager,10.3,7.54,2.6,74.9
E0242,account_manager,7.8,9.94,4.4,84.7
E0243,support_engineer,8.4,10.55,7.5,55.9
E0244,account_manager,8.2,10.33,6.9,100
E0245,support_engineer,5.4,6.03,9.5,53.4
E0246,account_manager,7.9,9.62,4.5,73.5
E0247,support_engineer,9.2,6.45,1.9,73.6
E0248,support_engineer,6.1,7.95,8.3,81.8
E0249,account_manager,5.5,2.81,6.7,50.2
E0250,account_manager,7.5,11.46,0.3,90.2
E0251,account_manager,6.4,6.11,7.2,38.5
E0252,account_manager,8.8,5.55,3.3,44.8
E0253,implement_specialist,8.4,5.29,3.1,74.3
E0254,implement_specialist,7.4,7.07,6.4,52.7
E0255,account_manager,7.5,6.99,6.6,45
E0256,account_manager,8,6.04,5.4,57.5
E0257,implement_specialist,5,5.15,5.1,65.8
E0258,support_engineer,6.6,9.13,8.1,47.7
E0259,implement_specialist,9.4,9.17,6.7,54.3
E0260,account_manager,6.8,5.26,8.6,69
E0261,implement_specialist,6.9,3.64,4.8,49
E0262,support_engineer,5.4,0.57,8.7,36.4
E0263,account_manager,7.2,7.42,2.8,47.4
E0264,account_manager,6.9,8.78,11.2,24.5
E0265,account_manager,7.3,2.48,7.2,53.7
E0266,support_engineer,9,7.34,1.3,71.5
E0267,implement_specialist,7.1,3.59,5.8,42.1
E0268,implement_specialist,6.5,4.71,9,49.3
E0269,support_engineer,7.8,8.47,3.1,67.9
E0270,account_manager,5.9,8.74,5.3,48.6
E0271,implement_specialist,7,4.09,6.4,58.1
E0272,support_engineer,8.7,6.75,7.5,48.5
E0273,account_manager,6.2,11.03,8.7,57.6
E0274,account_manager,7.8,4.24,4.5,63.3
E0275,account_manager,6.5,6.69,8,45.6
E0276,implement_specialist,8.2,12.37,3.7,44.6
E0277,account_manager,6.5,3.03,4.7,49.2
E0278,implement_specialist,4,5.97,7.8,59.4
E0279,support_engineer,6.4,10.11,10.7,81.9
E0280,account_manager,9.1,6.85,6,55
E0281,implement_specialist,5.8,2.27,6.3,34.5
E0282,support_engineer,6.2,9.07,5.7,41.7
E0283,account_manager,8.4,7.59,4.5,91.7
E0284,account_manager,8.2,2.26,6.1,38.7
E0285,implement_specialist,10.2,14.55,5.7,67.8
E0286,account_manager,7.5,6.39,8.6,58
E0287,implement_specialist,5.1,7.38,4.5,58.7
E0288,implement_specialist,9.7,8.13,3.2,43
E0289,account_manager,7.3,5.54,5,87.2
E0290,implement_specialist,7.6,4.77,3.5,79.8
E0291,support_engineer,7.8,4.1,8.2,47.7
E0292,account_manager,8.1,9.5,7.6,60.3
E0293,account_manager,6.8,10.54,3.6,67.7
E0294,implement_specialist,7.6,10.81,2.4,69.5
E0295,support_engineer,5,5.72,6.7,31.3
E0296,support_engineer,5.8,8.29,7.7,32.9
E0297,account_manager,9.4,12.02,5.3,72.9
E0298,account_manager,6.5,5.63,6.6,74.4
E0299,implement_specialist,7,9,3.7,48.3
E0300,support_engineer,7.1,5.83,7.2,21.4
E0301,implement_specialist,6.7,10.82,8.5,43.4
E0302,implement_specialist,6.3,6.75,8.5,48.9
E0303,implement_specialist,7.7,8.78,6.1,44.9
E0304,support_engineer,8.8,6.67,6.6,22.8
E0305,account_manager,6.3,3.43,7.2,63.5
E0306,implement_specialist,9.4,9.65,3.8,69.9
E0307,implement_specialist,7.2,5.57,6.4,58.5
E0308,implement_specialist,5.5,7.38,6.8,86.5
E0309,support_engineer,6.6,7.25,7.5,79.8
E0310,implement_specialist,7.5,4.57,5.2,38.4
E0311,implement_specialist,5,5.09,11.1,26
E0312,account_manager,7.9,4.79,5.2,43.6
E0313,implement_specialist,8.6,8.84,5.2,54.6
E0314,implement_specialist,6.3,6.11,7.7,98.1
E0315,support_engineer,6.1,3.62,9.7,81.5
E0316,implement_specialist,8.2,8.48,8.9,65.3
E0317,account_manager,5.6,5.96,6.5,37.8
E0318,implement_specialist,6.3,4.73,7.4,71
E0319,account_manager,4.1,4.64,7.9,91.9
E0320,account_manager,7.8,4.99,9.5,37
E0321,account_manager,6.3,8.09,6,60.3
E0322,account_manager,5.5,5.73,9.1,76.1
E0323,support_engineer,6.3,10.01,8,46.1
E0324,implement_specialist,7.4,6.45,4.4,38.4
E0325,account_manager,10.5,11.51,0.7,100
E0326,support_engineer,5.6,6.56,9.2,53.8
E0327,account_manager,5.9,10.82,5.4,53.6
E0328,account_manager,6,9.79,6.2,57.4
E0329,account_manager,7.4,7.8,4.4,58
E0330,implement_specialist,7.5,6.25,4.9,36.1
E0331,support_engineer,6.6,6.12,9.7,93.4
E0332,implement_specialist,6.3,6.86,8.9,47.8
E0333,support_engineer,5.7,6.02,8.5,45.1
E0334,account_manager,7.9,7,7.8,72.8
E0335,support_engineer,5.7,5.45,8.4,63.1
E0336,account_manager,8.1,7.1,4.6,58.8
E0337,support_engineer,6.8,8.49,6.2,46.9
E0338,account_manager,7.6,12.92,4.7,91.5
E0339,implement_specialist,6.8,11.45,7.2,58.4
E0340,account_manager,8.1,8.95,6,39.7
E0341,implement_specialist,4.3,8.34,8.7,29.3
E0342,support_engineer,8.7,6.24,7.5,52.5
E0343,support_engineer,7.2,5.48,9.6,66.4
E0344,implement_specialist,5.1,4.11,6.9,45.9
E0345,account_manager,8.7,6.5,8.5,61.2
E0346,implement_specialist,7,3.55,4.8,61.6
E0347,support_engineer,8.6,5.3,6.5,49.9
E0348,account_manager,7.7,8.9,7.2,71.6
E0349,account_manager,8.9,6.67,7.3,80.6
E0350,account_manager,7.6,5.29,8.2,64.3
E0351,account_manager,6.5,9.25,5.1,74.9
E0352,account_manager,8.6,6.23,8.7,67
E0353,account_manager,6.2,7.63,8.2,64.4
E0354,support_engineer,7.2,6.83,8.1,83.6
E0355,account_manager,7,7.46,9.9,35.8
E0356,implement_specialist,9.3,9.07,6.4,47.9
E0357,support_engineer,6.8,8.31,8.2,65.3
E0358,account_manager,8.8,7.12,5.5,64
E0359,support_engineer,5.9,10.21,3.1,51.9
E0360,implement_specialist,6.7,2.05,8.6,75.4
E0361,support_engineer,6.5,6.11,6.2,57.4
E0362,account_manager,6.7,8.73,2,59.9
E0363,support_engineer,7.6,10.71,6.7,41.3
E0364,account_manager,9.4,9.26,2.7,64.5
E0365,implement_specialist,7.7,8.79,6.1,49.3
E0366,support_engineer,4.6,6.03,8.3,34.3
E0367,implement_specialist,7,9.44,2.8,55.9
E0368,support_engineer,5.1,8.5,9.4,37.7
E0369,account_manager,4.7,3.47,5.5,58.7
E0370,account_manager,7.5,5.84,8.8,52.6
E0371,account_manager,9.4,9.59,2.1,61.8
E0372,implement_specialist,7.8,4.73,5.8,59
E0373,support_engineer,6.6,5.58,6.2,46.8
E0374,implement_specialist,8.2,8.73,2.1,60.4
E0375,account_manager,7.2,6.58,7.4,39
E0376,support_engineer,9.4,2.2,5,49.3
E0377,account_manager,6,9.47,6.9,58.7
E0378,support_engineer,6.6,9.61,6.7,66.3
E0379,implement_specialist,9.3,4.48,6.9,57.8
E0380,support_engineer,8.6,9.43,5.4,81.9
E0381,support_engineer,8.1,3.27,4.1,37.3
E0382,account_manager,7,3.08,8.9,80.9
E0383,support_engineer,9.3,8.32,5.9,38.1
E0384,support_engineer,7,9.68,5.8,73.3
E0385,account_manager,8.5,8.51,2.7,72.2
E0386,account_manager,7.3,10.5,6.1,71.7
E0387,account_manager,9.2,7.3,5,80.9
E0388,implement_specialist,9,8.4,3.5,65.4
E0389,support_engineer,8,5.51,6,72.4
E0390,support_engineer,6.5,5.49,10.6,53.3
E0391,implement_specialist,7.6,13.68,3.9,75.2
E0392,account_manager,7.7,9.54,5.3,53
E0393,account_manager,6.3,5.65,6.8,64.4
E0394,account_manager,8.2,7.31,2.7,61.5
E0395,support_engineer,6.1,9.61,6.6,28.5
E0396,support_engineer,8.6,7.01,3.5,59.9
E0397,support_engineer,10.2,12.39,6.1,96.8
E0398,implement_specialist,7,8.15,6.9,62.7
E0399,account_manager,7,1.83,6.8,51.9
E0400,account_manager,5.1,2.11,6,63.2
E0401,account_manager,8.6,13.04,4.2,78.7
E0402,implement_specialist,8,3.16,4.9,57.8
E0403,account_manager,7.5,6.54,9,31.3
E0404,account_manager,7,9.28,3.3,60.7
E0405,support_engineer,6.8,6.69,6.5,42.4
E0406,implement_specialist,6,8.79,7.2,53.8
E0407,account_manager,8,11.8,4.5,35.3
E0408,implement_specialist,7.7,7.86,4.6,90
E0409,support_engineer,9,6.01,4.6,53.3
E0410,account_manager,6.5,5.85,6.2,54.5
E0411,implement_specialist,8.1,4.75,5.7,66.2
E0412,support_engineer,7.2,4.85,5.8,58.5
E0413,account_manager,7.9,5.24,9.2,56.6
E0414,support_engineer,8.4,8.33,3.2,85
E0415,implement_specialist,7.4,8.32,4.7,72.1
E0416,implement_specialist,7.1,7.23,8.9,78.4
E0417,implement_specialist,6.8,8.78,4.2,88
E0418,implement_specialist,6.6,2.59,9,77
E0419,account_manager,9.9,6.27,7.1,63.9
E0420,implement_specialist,7.5,2.73,5.1,57.8
E0421,implement_specialist,7.7,10.95,4.1,63.6
E0422,account_manager,6.9,6.27,9.1,53.1
E0423,account_manager,5.1,7.9,5.7,45.4
E0424,support_engineer,7,7.33,7.4,53.2
E0425,account_manager,5.9,4.59,8.4,62.4
E0426,implement_specialist,5.7,8.81,11,40.3
E0427,account_manager,5.8,1.71,6.6,81.4
E0428,account_manager,5.9,7.15,5.8,52
E0429,account_manager,8.9,5.81,0.6,73.2
E0430,implement_specialist,8,6.53,8.2,69.6
E0431,account_manager,7.7,0.99,7.4,42.5
E0432,account_manager,6.6,10.56,5.6,70
E0433,account_manager,9.4,10.75,6.2,90.9
E0434,account_manager,5.7,3.99,4.2,48.6
E0435,implement_specialist,6.8,8.54,4.6,94.7
E0436,support_engineer,5.4,0.98,9.8,45.8
E0437,account_manager,7.5,10.24,5.1,71.2
E0438,implement_specialist,8,6.49,6.1,30.9
E0439,account_manager,6,6.28,5.6,44.3
E0440,support_engineer,7.3,9.84,4.1,54.7
E0441,account_manager,6.3,2.78,11.2,68.1
E0442,support_engineer,6.2,5.04,6.8,49.7
E0443,account_manager,7.8,10.48,4,42.6
E0444,account_manager,9.6,12.91,4.3,92.9
E0445,implement_specialist,7.2,6.04,3.9,71.4
E0446,support_engineer,8,6.78,2.4,52
E0447,account_manager,6.7,4.85,7,72.1
E0448,implement_specialist,6.9,7.83,7.5,57.3
E0449,account_manager,7.6,6.67,3.5,76.3
E0450,implement_specialist,6.8,2.14,8.4,42.2
E0451,implement_specialist,5.8,8.65,4.7,91.8
E0452,implement_specialist,7.2,11,5.6,55.8
E0453,implement_specialist,4.8,9.87,9.5,64
E0454,account_manager,6.5,7.4,7.7,54.7
E0455,implement_specialist,7.3,6.12,4.6,58.6
E0456,account_manager,9.1,1.48,3.5,24.2
E0457,implement_specialist,7.7,1.78,5,46
E0458,support_engineer,7.2,11.71,0.6,65.8
E0459,account_manager,7.4,7.36,8,59.3
E0460,account_manager,7.4,8.2,7.2,60.9
E0461,implement_specialist,6.1,6.42,9.3,39.2
E0462,implement_specialist,7,9.11,3.3,60.8
E0463,account_manager,5.6,2.83,6.7,44.7
E0464,account_manager,6.8,9.77,4.7,54.1
E0465,implement_specialist,7.4,6.24,6.4,68.7
E0466,implement_specialist,7.6,4.26,8,61.7
E0467,account_manager,8.5,5.8,4.6,61.2
E0468,account_manager,6.2,10.57,3.8,57.4
E0469,account_manager,6.6,3.42,4.8,52.2
E0470,account_manager,4.8,6.85,6.3,37.8
E0471,support_engineer,8.1,5.83,9.1,78
E0472,account_manager,7.6,5.27,5,59.6
E0473,implement_specialist,6.9,5.62,8.3,67.2
E0474,support_engineer,6.6,4.49,8.5,60.9
E0475,account_manager,4.9,4.82,10,78.3
E0476,account_manager,6.7,11.69,7.4,46.7
E0477,support_engineer,7,8.32,7.1,56.1
E0478,support_engineer,9.2,13.07,2.8,63.5
E0479,support_engineer,6.1,7.72,3.5,58.7
E0480,account_manager,8.2,5.35,2.9,39.6
E0481,implement_specialist,4.8,6.87,8.1,63.1
E0482,support_engineer,7.3,5.55,6.1,55.8
E0483,account_manager,7.8,2.37,8.4,43.6
E0484,account_manager,6.6,10.29,3,66
E0485,implement_specialist,8.7,5.68,7.5,45.8
E0486,support_engineer,8.2,5.91,6.5,68.9
E0487,account_manager,6.6,5.42,10.2,56.7
E0488,account_manager,5,6.44,6.6,55.5
E0489,implement_specialist,7.5,8.21,4.7,73.9
E0490,implement_specialist,6.9,2.29,5.6,40.7
E0491,support_engineer,6.6,9.62,7,63.7
E0492,implement_specialist,7.8,6.36,6.4,56.5
E0493,account_manager,6.7,3.11,4.5,52.2
E0494,implement_specialist,5.2,1.53,9.1,47.7
E0495,account_manager,9.1,9.63,3.6,68.8
E0496,implement_specialist,7.9,5.75,2.2,78.8
E0497,account_manager,7.9,10.33,4.9,66.1
E0498,implement_specialist,5.5,5.15,5.9,39.5
E0499,account_manager,7.1,5.91,6.3,58.8
E0500,support_engineer,7.6,8.26,0.2,55
E0501,implement_specialist,5.7,5.34,8.6,56.7
E0502,support_engineer,5.4,2.38,8.3,25.9
E0503,account_manager,5.3,7.59,7.5,46.2
E0504,implement_specialist,7,5.13,1.6,70.1
E0505,implement_specialist,6.9,6.58,7,68.5
E0506,implement_specialist,9.4,8.36,4.4,33
E0507,support_engineer,8,4.54,6.3,59.1
E0508,support_engineer,4.5,2.98,10.3,42.2
E0509,account_manager,5.6,3.91,7.5,51
E0510,implement_specialist,7.4,8.98,4.5,41
E0511,account_manager,5.9,5.67,7.9,74.1
E0512,implement_specialist,8.9,11.02,2.2,71.8
E0513,account_manager,6.3,9.69,7.2,53.3
E0514,account_manager,8,4.84,8.4,55.4
E0515,implement_specialist,5.2,5.04,3.1,44.4
E0516,account_manager,8.5,8.98,2.5,63.7
E0517,implement_specialist,6.3,12.88,9.8,17.8
E0518,support_engineer,6,1.9,7.2,63
E0519,account_manager,8.6,8.36,5.9,67.1
E0520,support_engineer,8.4,9.13,6,80.6
E0521,account_manager,6.3,9.39,4,80.4
E0522,account_manager,7.5,3.48,7.9,31.8
E0523,account_manager,10.4,11.5,3.6,64.7
E0524,implement_specialist,7.1,11.76,5.1,76.8
E0525,account_manager,6.7,2.27,8,62.9
E0526,account_manager,7.9,3.62,9.9,21
E0527,account_manager,6,9.47,4.2,69.6
E0528,implement_specialist,7.2,8.29,6.6,71.9
E0529,implement_specialist,7.7,6.99,7.6,52.4
E0530,support_engineer,7.1,8.35,5.9,42.1
E0531,support_engineer,6.8,6.16,7.6,69.7
E0532,account_manager,8.2,7.39,3.7,64.6
E0533,support_engineer,8.5,6.05,4.8,38.5
E0534,implement_specialist,5.3,7.17,8.4,46.6
E0535,account_manager,7.2,6.03,3.5,63.3
E0536,account_manager,6.2,8.53,5.1,57.5
E0537,implement_specialist,5.5,2.01,6.5,61.8
E0538,support_engineer,7.7,8.98,4.1,61.8
E0539,account_manager,5.6,4.98,8.3,51.2
E0540,account_manager,5.5,6.67,7.8,64.9
E0541,support_engineer,6,4.8,7.2,66.1
E0542,account_manager,7.4,3.19,7.4,50.7
E0543,implement_specialist,7.1,3.46,5.4,69.4
E0544,account_manager,6.7,13.21,9.1,72.2
E0545,account_manager,6.4,11.52,4.4,50.3
E0546,implement_specialist,9.5,8.74,8.4,37.7
E0547,account_manager,6.7,9.11,4.1,42.5
E0548,support_engineer,8.4,0,2.2,47.6
E0549,implement_specialist,8.8,3.12,6.9,34.3
E0550,account_manager,7.8,4.12,5.9,79.5
E0551,account_manager,8.3,9.89,3.2,71.6
E0552,support_engineer,7.1,5.09,6.6,58.3
E0553,implement_specialist,7.3,6.1,4.2,77.4
E0554,implement_specialist,6.8,2.22,2.1,45.6
